Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_(days/week),Experience_Level,BMI,BMI_fixed,Intensity,HRR,BPM_Efficiency,Hydration_Ratio,Calories_per_hour,Cardio_Stress,Hydration_Efficiency,cluster,recommendation
0.39024390243902446,Female,86.7,1.86,174.0,152.0,74.0,0.4133333333333334,0.27766463000678887,Strength,12.8,2.4,5.0,2.0,14.31,0.34719905577497384,0.1563066309359716,0.2222222222222221,0.6917575147880672,0.19930558931745732,635.7142857142857,63571.428571428565,0.024715768660405334,6,Balanced cardio and strength training routine for steady and sustainable fitness improvement.
0.1951219512195122,Female,84.7,1.83,166.0,156.0,73.0,0.3333333333333333,0.3598099117447386,Strength,27.9,2.8,5.0,2.0,33.49,0.3525286644234899,0.22288250152181974,0.11111111111111094,0.8610118806417568,0.26571712678915504,833.0,77469.0,0.033057851239669415,6,Balanced cardio and strength training routine for steady and sustainable fitness improvement.
0.09756097560975613,Male,64.8,1.85,187.0,166.0,64.0,0.49333333333333335,0.93346911065852,Cardio,28.7,1.9,3.0,2.0,12.73,0.20594742563226903,0.3984374629701814,0.5873015873015872,0.7279048515538578,0.21955602751076206,1353.225806451613,166446.7741935484,0.02364595778574273,-1,General fitness improvement recommended.
0.878048780487805,Female,75.3,1.82,187.0,169.0,58.0,0.6333333333333333,0.22063815342837745,Cardio,31.8,2.4,4.0,1.0,20.37,0.2935323498502504,0.08793374878670615,0.6825396825396823,0.7689242206663414,0.2510747254189859,433.1034482758621,55870.34482758621,0.021981041351834044,-1,General fitness improvement recommended.
0.39024390243902446,Female,52.8,1.74,177.0,169.0,66.0,0.7333333333333334,0.6673455532926,Strength,26.4,3.2,4.0,2.0,20.83,0.17150641967041785,0.21301182121591647,0.39682539682539675,0.8994755084254704,0.6060173808551244,803.75,89216.25,0.03787878787878788,-1,General fitness improvement recommended.
0.48780487804878053,Female,53.0,1.58,161.0,128.0,74.0,0.7466666666666668,0.44127630685675495,HIIT,23.4,2.5,2.0,2.0,13.02,0.2589018991030157,0.1402966639344312,0.015873015873015817,0.49096066972398233,0.44004074750408084,588.2716049382716,51179.62962962963,0.029117167481947356,-1,General fitness improvement recommended.
0.6341463414634148,Female,46.5,1.81,191.0,142.0,74.0,0.6399999999999999,0.6347589952477937,Cardio,11.9,3.7,2.0,2.0,18.12,0.09667881809398765,0.22792589794553617,0.49206349206349187,0.35908846469955336,0.8402756847831173,847.945205479452,99209.5890410959,0.05449992635145088,10,Balanced cardio and strength training routine for steady and sustainable fitness improvement.
0.7804878048780488,Female,88.5,1.63,181.0,136.0,63.0,0.7533333333333332,0.35709436524100474,Strength,11.6,1.8,4.0,2.0,19.16,0.5373611225103074,0.11340702485130252,0.5079365079365079,0.3793535272720894,0.10860222982717208,508.58895705521473,60013.496932515336,0.012477903712176356,10,Balanced cardio and strength training routine for steady and sustainable fitness improvement.
0.0,Female,82.9,1.54,174.0,169.0,64.0,0.18,0.3387644263408011,HIIT,27.8,2.2,3.0,1.0,49.84,0.5753024598823566,0.2932624571362056,0.38095238095238093,0.941567044306431,0.1851780316772816,1041.5584415584415,114571.42857142857,0.03446493193175944,6,Balanced cardio and strength training routine for steady and sustainable fitness improvement.
0.39024390243902446,Female,65.9,1.74,195.0,169.0,73.0,1.0,0.6300067888662593,Yoga,30.5,3.2,5.0,2.0,12.32,0.271254870109171,0.14948513514459036,0.5714285714285712,0.6741239009397124,0.45719411344721483,615.5,75091.0,0.024279210925644917,5,Endurance-focused training with longer cardio sessions and attention to pacing and recovery.
0.5121951219512195,Female,47.0,1.78,181.0,155.0,55.0,0.9266666666666665,0.30142566191446024,Yoga,31.7,2.3,3.0,3.0,28.39,0.11143938629960404,0.07515573871812634,0.6349206349206349,0.6477546662346216,0.4618604008880296,395.23809523809524,49800.0,0.02589215355172802,5,Endurance-focused training with longer cardio sessions and attention to pacing and recovery.
0.6829268292682928,Male,40.0,1.88,168.0,131.0,69.0,1.0,0.2505091649694501,,25.4,2.4,2.0,2.0,12.32,0.030369009806369973,0.05516530111040365,0.20634920634920628,0.45191937405299965,0.5985307752656729,336.0,33264.0,0.03,-1,General fitness improvement recommended.
0.024390243902439046,Male,87.7,1.98,186.0,145.0,50.0,0.74,0.9517990495587236,Strength,14.1,2.3,3.0,2.0,15.99,0.28517332358517894,0.2991503667425878,0.7936507936507935,0.45142842282258266,0.18132111167017187,1059.0062111801242,144024.84472049688,0.01628929793125916,2,Balanced cardio and strength training routine for steady and sustainable fitness improvement.
